lemma,definition,len_tokens,mean_log_freq,median_log_freq,miss_rate
ola,leaf or strip from a leaf of the talipot palm used in India for writing paper,9,-4.244396649130945,-4.260001963371451,0.11111111111111116
psalm,one of the 150 lyrical poems and prayers that comprise the Book of Psalms in the Old Testament; said to have been written by David,11,-4.441429141077439,-4.0125679206932885,0.18181818181818177
kike,(ethnic slur) offensive term for a Jew,5,-4.913572156458318,-4.827436758465478,0.19999999999999996
reptilian,"any cold-blooded vertebrate of the class Reptilia including tortoises, turtles, snakes, lizards, alligators, crocodiles, and extinct forms",13,-4.947792143176038,-5.080421918078061,0.23076923076923073
ruffian,a cruel and brutal fellow,3,-4.669712527094464,-4.707923304680539,0.0
turtleneck,a sweater or jersey with a high close-fitting collar,5,-4.596142197814482,-4.874036777619116,0.19999999999999996
anaconda,large arboreal boa of tropical South America,6,-4.796488643725156,-4.317326233257783,0.16666666666666663
clocking,the time taken to traverse a measured course,5,-4.07977477588438,-3.2926583465756587,0.0
starkey,rock star and drummer for the Beatles (born in 1940),5,-4.575814558947258,-4.093576925026563,0.0
glutton,a person who is devoted to eating and drinking to excess,5,-4.513990782211944,-4.238457952184814,0.0
awkwardness,unskillfulness resulting from a lack of training,4,-4.418202430277042,-4.3465311034908884,0.25
looter,someone who takes spoils or plunder (as in war),5,-4.076892698360551,-3.644801696082205,0.0
bloodstain,a discoloration caused by blood,3,-3.834595426838642,-3.834595426838642,0.33333333333333337
tenement,a run-down apartment house barely meeting minimal standards,7,-4.235361819563309,-4.276075998426414,0.1428571428571429
catholicism,the beliefs and practices of a Catholic Church,4,-4.439359428857683,-4.400508451384512,0.0
crossover,the interchange of sections between pairing homologous chromosomes during the prophase of meiosis,7,-4.943697461450976,-4.517747584681395,0.5714285714285714
vocalist,a person who sings,2,-4.309971887280346,-4.309971887280346,0.0
agha,title for a civil or military leader (especially in Turkey),6,-4.4621797371130665,-4.459365382275136,0.0
inducing,act of bringing about a desired result,4,-4.301980622675729,-4.100980747625589,0.0
gd,a nerve agent easily absorbed into the body; a lethal cholinesterase inhibitor that is highly toxic when inhaled,11,-4.864586056176334,-4.882379793166148,0.09090909090909094
pseudonym,a fictitious name used when the person performs a particular social role,8,-4.481896755861426,-4.4895800352837085,0.0
frick,United States industrialist who amassed a fortune in the steel industry (1849-1919),7,-4.693189324671124,-4.580832398287866,0.1428571428571429
splint,a thin sliver of wood,3,-5.020235729593313,-4.675290914298458,0.0
moll,the girlfriend of a gangster,2,-4.506529843751398,-4.506529843751398,0.0
