lemma,definition,len_tokens,mean_log_freq,median_log_freq,miss_rate
right,an abstract idea of that which is due to a person or governmental body by law or tradition or nature; ; - Eleanor Roosevelt,11,-4.3711832812759654,-4.296297093929686,0.09090909090909094
oh,a midwestern state in north central United States in the Great Lakes region,9,-4.12359671153286,-4.221167426712858,0.11111111111111116
time,an instance or single occasion for some event,4,-4.470204590723551,-4.498451994525782,0.0
yes,an affirmative,1,-5.30222186438223,-5.30222186438223,0.0
going,the act of departing,2,-4.693385431241624,-4.693385431241624,0.0
na,a silvery soft waxy metallic element of the alkali metal group; occurs abundantly in natural compounds (especially in salt water); burns with a yellow flame and reacts violently in water; occurs in sea water and in the mineral halite (rock salt),27,-4.670937342882079,-4.65330752200285,0.07407407407407407
man,an adult person who is male (as opposed to a woman),5,-4.240639229440655,-4.349671889177578,0.0
ca,a white metallic element that burns with a brilliant light; the fifth most abundant element in the earth's crust; an important component of most plants and animals,15,-4.542578312619883,-4.413158736872541,0.0
thing,a special situation,2,-3.91111278722646,-3.91111278722646,0.0
way,how something is done or how it happens,3,-2.873659698484547,-2.8393400733284975,0.0
doe,the federal department responsible for maintaining a national energy policy of the United States; created in 1977,10,-4.361416959857822,-4.326404711338198,0.0
guy,an informal term for a youth or man,4,-4.382472910484092,-4.481850673713199,0.0
people,(plural) any group of human beings (men or women or children) collectively,8,-4.14837539920817,-3.567562577560607,0.0
day,time for Earth to make a complete rotation on its axis,6,-4.129766487296264,-4.040170148719968,0.0
life,a characteristic state or mode of living,4,-4.5405160719898445,-4.456505903684133,0.0
year,a period of time containing 365 (or 366) days,4,-3.7954146769922446,-3.719784664445786,0.0
god,the supernatural being conceived as the perfect and omnipotent and omniscient originator and ruler of the universe; the object of worship in monotheistic religions,12,-4.83381821539748,-4.872317012254085,0.33333333333333337
work,activity directed toward making or doing something,4,-3.70102262945207,-3.7103985040494134,0.0
sir,term of address for a man,3,-3.731368075948096,-4.176160360057525,0.0
nothing,a quantity of no importance,2,-5.240208058033606,-5.240208058033606,0.0
night,the time after sunset and before sunrise while it is dark outside,4,-4.206431982593409,-4.480897679370614,0.0
thought,the content of cognition; the main thing you are thinking about,5,-3.875937511329388,-3.9380518614031823,0.19999999999999996
must,a necessary or essential thing,3,-4.050122885218746,-4.312349224954624,0.0
