lemma,definition,len_tokens,mean_log_freq,median_log_freq,miss_rate
electronically,by electronic means,2,-3.8931458480484293,-3.8931458480484293,0.0
warring,make or wage war,3,-3.8234343747939015,-3.644801695391476,0.0
dominick,American breed of chicken having barred grey plumage raised for meat and brown eggs,10,-4.3457987421279505,-4.250691254535671,0.09999999999999998
sweatpants,loose-fitting trousers with elastic cuffs; worn by athletes,6,-5.043396965687535,-5.133776001338332,0.16666666666666663
rancid,(used of decomposing oils or fats) having a rank smell or taste usually due to a chemical change or decomposition,12,-4.350784957496834,-4.212411506086151,0.08333333333333337
entrapment,a defense that claims the defendant would not have broken the law if not tricked into doing it by law enforcement officials,9,-4.272855381901068,-4.3625149656060485,0.0
discrepancy,a difference between conflicting facts or claims or opinions,5,-4.29654174579649,-4.355904854387938,0.0
mott,United States feminist and suffragist (1793-1880),4,-4.620508612009384,-4.323541482777782,0.25
forcefully,with full force,2,-3.813854751366555,-3.813854751366555,0.0
signify,denote or connote,2,,,1.0
ranging,wandering freely,2,-5.194719095932633,-5.194719095932633,0.0
swindled,deprive of by deceit,2,-5.78483853900416,-5.78483853900416,0.0
recognizable,easily perceived; easy to become aware of,5,-4.388486351317328,-4.3738216825372405,0.0
selecting,"pick out, select, or choose from a number of alternatives",5,-4.350793254001621,-4.203704471002909,0.0
servitude,state of subjection to an owner or master or forced labor imposed as punishment,8,-4.448569256096535,-4.43495640771657,0.125
bering,Danish explorer who explored the northern Pacific Ocean for the Russians and discovered the Bering Strait (1681-1741),10,-5.140085376023175,-5.062921735892271,0.0
liquidate,get rid of (someone who may be a threat) by killing,5,-3.4954660819585563,-3.264934231080262,0.0
warns,"notify of danger, potential harm, or risk",5,-4.542524549398832,-4.43765382441619,0.0
miser,a stingy hoarder of money and possessions (often living miserably),7,-4.572852704194535,-4.467403831078604,0.1428571428571429
brained,hit on the head,2,-3.4544519372053,-3.4544519372053,0.0
contradictory,of words or propositions so related that both cannot be true and both cannot be false,5,-4.301097882056671,-4.598533092651958,0.0
sociology,the study and classification of human societies,4,-4.648395018760742,-4.330555370959151,0.0
decimated,"kill one in every ten, as of mutineers in Roman armies",5,-3.9096099551194565,-3.9036781430019367,0.19999999999999996
carthage,an ancient city state on the north African coast near modern Tunis; founded by Phoenicians; destroyed and rebuilt by Romans; razed by Arabs in 697,15,-4.470833689460914,-4.57548403148114,0.2666666666666667
diddly,a small worthless amount,3,-4.427183011374589,-4.44445717146412,0.0
choreographer,someone who creates new dances,4,-3.681025324009588,-3.571419801584712,0.0
bosnian,of or relating to or characteristic of Bosnia-Herzegovina or the people of Bosnia,5,-4.901706755468082,-5.415982398862726,0.19999999999999996
credited,give someone credit for something,4,-3.339850652004918,-3.0947568926256053,0.0
yoghurt,a custard-like food made from curdled milk,5,-3.646202919191643,-3.76883072468368,0.4
congenital,present at birth but not necessarily hereditary; acquired during fetal development,7,-5.078375065357465,-4.959352353527366,0.0
jenner,English physician who pioneered vaccination; Jenner inoculated people with small amounts of cowpox to prevent them from getting smallpox (1749-1823),13,-4.504044436219937,-4.62953827152745,0.23076923076923073
revel,take delight in,2,-3.9552003652090257,-3.9552003652090257,0.0
impregnable,immune to attack; incapable of being tampered with,4,-5.164325445792863,-5.317471791816127,0.0
rockies,the chief mountain range of western North America; extends from British Columbia to northern New Mexico; forms the continental divide,15,-4.5511129652654985,-4.522305121761295,0.0
willies,feelings of uneasiness,2,-3.6598097669641687,-3.6598097669641687,0.5
overdosed,dose too heavily,2,-4.880919392218537,-4.880919392218537,0.0
reassurance,the act of reassuring; restoring someone's confidence,5,-4.547033684279437,-4.676732270920503,0.0
unguarded,lacking protection or a guard,3,-4.391746876334019,-4.5240273262739725,0.0
stupendous,so great in size or force or extent as to elicit awe,6,-4.425241515804336,-4.315583498461688,0.16666666666666663
horowitz,Russian concert pianist who was a leading international virtuoso (1904-1989),6,-4.64761192259323,-4.652166478853422,0.16666666666666663
i.e.,that is to say; in other words,2,-3.080931142986562,-3.080931142986562,0.0
weepy,liable to weep easily,3,-5.0642941696148025,-5.27205667105873,0.0
homely,lacking in physical beauty or proportion,4,-4.7302944677064165,-4.596959008035683,0.0
cutback,a reduction in quantity or rate,3,-5.208934955785852,-5.431144103539091,0.0
unsuitable,not meant or adapted for a particular purpose,4,-4.565569967502408,-4.427396270430068,0.0
revolve,turn on or around an axis or a center,4,-4.1490380801295945,-3.8750936675707903,0.0
caprice,a sudden desire,2,-4.488673757912773,-4.488673757912773,0.0
batty,informal or slang terms for mentally irregular,5,-5.365602476692554,-5.629721510742459,0.0
gazebo,a small roofed building affording shade and rest,6,-4.251958736549422,-4.313196991134032,0.0
browsing,reading superficially or at random,3,-4.237378645335526,-4.237378645335526,0.33333333333333337
rewriting,editing that involves writing something again,4,-4.4301024601007475,-4.607326256833408,0.0
roomie,an associate who shares a room with you,3,-4.074270580056299,-4.065816639239502,0.0
ferrara,a city in northern Italy,3,-4.467077565021742,-4.794117728205016,0.0
lapping,covering with a design in which one element covers a part of another (as with tiles or shingles),7,-4.371754234613633,-4.298861464915207,0.1428571428571429
riffraff,disparaging terms for the common people,4,-3.8334839942678784,-4.278896454562161,0.25
basque,a member of a people of unknown origin living in the western Pyrenees in France and Spain,9,-4.29014038440301,-4.560561204685126,0.11111111111111116
carelessness,the quality of not being careful or taking pains,4,-4.0189092671593505,-3.926027035604375,0.0
whiter,being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light,11,-4.387555467544857,-4.287973604664366,0.18181818181818177
foothold,an area in hostile territory that has been captured and is held awaiting further troops and supplies,8,-4.53125801385378,-4.638694939654755,0.0
recommends,push for something,2,-3.485689776348756,-3.485689776348756,0.0
unpleasantness,the feeling caused by disagreeable stimuli; one pole of a continuum of states of feeling,8,-4.395205325581261,-4.019191457228289,0.125
shredding,tear into shreds,2,-4.790523514589683,-4.790523514589683,0.0
copier,"apparatus that makes copies of typed, written or drawn material",7,-4.2400200741341,-4.158138171438313,0.0
distantly,from or at a distance,1,-4.353926457626539,-4.353926457626539,0.0
plunger,someone who risks losses for the possibility of considerable gains,6,-4.404263275356963,-4.483816183504819,0.0
discontent,a longing for something better than the present situation,5,-3.30737141380409,-3.1557252842055714,0.0
grossly,in a gross manner,2,-4.672518611873439,-4.672518611873439,0.0
tweaked,pinch or squeeze sharply,3,-5.071020571964053,-5.113126923566342,0.0
fastball,(baseball) a pitch thrown with maximum velocity,4,-4.98751206864259,-4.897233653022764,0.0
migrate,move from one country or region to another and settle there,4,-4.091914008877826,-4.06407871568329,0.0
abilene,a city in central Texas,3,-4.284373150638577,-4.542213109298255,0.0
koto,Japanese stringed instrument that resembles a zither; has a rectangular wooden sounding board and usually 13 silk strings that are plucked with the fingers,14,-4.670720535355245,-4.621752581071184,0.1428571428571429
westbound,moving toward the west,2,-3.7612477015754973,-3.7612477015754973,0.0
pongo,type genus of the family Pongidae: orangutans,5,-3.759184270976456,-3.759184270976456,0.6
bushy,used of hair; thick and poorly groomed,5,-4.517303728966347,-4.785834554842372,0.0
mosaic,art consisting of a design made of small pieces of colored stone or glass,9,-4.192986576480056,-4.081021550532144,0.0
blissful,completely happy and contented,3,-4.116204188304715,-4.028642632777496,0.0
sg,a transuranic element,2,-4.729980101157237,-4.729980101157237,0.5
kipling,English author of novels and poetry who was born in India (1865-1936),6,-4.5889619320189174,-4.706713004114944,0.0
tightened,make tight or tighter,3,-4.155939508924645,-4.268214577314524,0.0
psychedelic,producing distorted sensory perceptions and feelings or altered states of awareness or sometimes states resembling psychosis,11,-4.828521470109699,-5.23712187790794,0.0
dismembered,separate the limbs from the body,3,-4.416175773513449,-4.599761231993911,0.0
maitland,English historian noted for his works on the history of English law (1850-1906),7,-4.107609111975273,-4.0943315723825675,0.0
middleweight,an amateur boxer who weighs no more than 165 pounds,4,-4.9106829743943265,-5.0731266312625465,0.0
scranton,an industrial city of northeastern Pennsylvania,4,-4.711896095693586,-5.1633072515297025,0.25
astrologer,someone who predicts the future by the positions of the planets and sun and Moon,7,-4.111761594966569,-4.0390232479732004,0.0
vanderbilt,United States financier who accumulated great wealth from railroad and shipping businesses (1794-1877),9,-4.514648215703354,-4.637535302435078,0.11111111111111116
wallop,hit hard,2,-3.5110455315513627,-3.5110455315513627,0.0
squander,spend thoughtlessly; throw away,4,-3.6990068322648426,-3.914135285753546,0.25
buggered,practice anal sex upon,3,-4.586745598162113,-4.337825027024516,0.0
clawed,"move as if by clawing, seizing, or digging",4,-4.553789334958997,-4.8722461851422345,0.0
artiste,a public performer (a dancer or singer),4,-4.751986814475318,-4.729110116065518,0.0
humbug,pretentious or silly talk or writing,4,-4.2588527913710985,-4.106685015607271,0.0
sizzle,make a sound like frying fat,4,-3.7967600736571434,-3.840593914977603,0.0
foghorn,a loud low warning signal that can be heard by fogbound ships,7,-4.091376359651524,-4.208747077139228,0.1428571428571429
lymph,a thin coagulable fluid (similar to plasma but) containing white blood cells (lymphocytes) and chyle; is conveyed to the blood stream by lymphatic vessels,16,-4.5805244331068184,-4.726127613207548,0.25
temperamental,relating to or caused by temperament,3,-5.112717275389895,-5.356094957504237,0.0
hubris,overbearing pride or presumption,3,-5.372028275205569,-5.372028275205569,0.33333333333333337
teensy,(used informally) very small,3,-3.644863545613398,-3.644863545613398,0.33333333333333337
recapture,experience anew,2,-4.9939854490247635,-4.9939854490247635,0.0
kosovo,a Serbian province in southern Serbia and Montenegro populated predominantly by Albanians,8,-5.622193424489054,-5.80037240910579,0.25
catatonic,characterized by catatonia especially either rigidity or extreme laxness of limbs,7,-5.081844745244406,-4.948876539622233,0.4285714285714286
caligula,Roman Emperor who succeeded Tiberius and whose uncontrolled passions resulted in manifest insanity; noted for his cruelty and tyranny; was assassinated (12-41),13,-5.031215937405154,-5.08759639322254,0.07692307692307687
nostradamus,French astrologer who wrote cryptic predictions whose interpretations are still being debated (1503-1566),8,-4.913892186053576,-5.251864972586787,0.0
guam,the largest and southernmost island in the Marianas which is administered as a territory of the United States; it was ceded by Spain to the United States in 1898,12,-4.437172962196794,-4.323541482777782,0.25
woolly,having a fluffy character or appearance,3,-4.88794011658779,-4.812203371942291,0.0
grange,an outlying farm,2,-4.433421846390711,-4.433421846390711,0.5
presumption,an assumption that is taken for granted,3,-4.165645905752993,-4.496641317375724,0.0
reactive,participating readily in reactions,3,-5.314504729116925,-5.276440241363095,0.0
deterioration,a symptom of reduced quality or strength,4,-4.7567934320399035,-4.745416578005328,0.0
hairless,having no hair or fur,2,-4.442566454878625,-4.442566454878625,0.0
ravenous,extremely hungry,2,-4.348897688091453,-4.348897688091453,0.0
undertaken,enter upon an activity or enterprise,3,-4.611228221902206,-4.584378304751884,0.0
sunup,the first light of day,3,-3.2057951252954653,-3.0597047850075163,0.0
emporium,a large retail store organized into departments offering a variety of merchandise; commonly part of a retail chain,12,-4.7908644118980455,-4.813100927861948,0.0
argyle,a covered gravy holder of silver or other metal containing a detachable central vessel for hot water to keep the gravy warm,14,-4.483206427718656,-4.50717171330391,0.0714285714285714
tongs,any of various devices for taking hold of objects; usually have two hinged legs with handles above and pointed hooks below,11,-4.156552788896085,-4.212411506086151,0.0
genital,of or relating to the external sex organs,4,-4.876027636336554,-5.073697438828052,0.0
pyre,wood heaped for burning a dead body as a funeral rite,7,-4.320601289763994,-4.210576428542791,0.0
madder,Eurasian herb having small yellow flowers and red roots formerly an important source of the dye alizarin,12,-4.529445780679977,-4.445838159554812,0.16666666666666663
obsess,haunt like a ghost; pursue,3,-4.854930897922043,-5.1087129386249135,0.0
twine,"spin,wind, or twist together",4,-4.288204187910956,-4.440933768719083,0.0
honorably,in an honorable manner,2,-4.856322635168846,-4.856322635168846,0.0
responder,someone who responds,2,-4.534189683705511,-4.534189683705511,0.0
embroidery,elaboration of an interpretation by the use of decorative (sometimes fictitious) detail,7,-4.87921649324876,-4.916780191428437,0.1428571428571429
buckshot,small lead shot for shotgun shells,5,-4.192243320184078,-3.9119852946845057,0.0
hydrant,a faucet for drawing water from a pipe or cask,5,-4.590009109875428,-4.491471946393439,0.19999999999999996
barrie,Scottish dramatist and novelist; created Peter Pan (1860-1937),6,-4.8959284941077765,-4.781104225484326,0.16666666666666663
spiteful,showing malicious ill will and a desire to hurt; motivated by spite,7,-4.6561435912949545,-4.475505820820882,0.0
dishonored,bring shame or dishonor upon,3,-4.526940031883718,-4.299630527009613,0.0
veiled,having or as if having a veil or concealing cover,3,-4.939133113301005,-5.322751071599392,0.0
pate,liver or meat or fowl finely minced or ground and variously seasoned,8,-5.105636098508671,-4.820267666919144,0.125
jobless,not having a job,1,-3.357963763080888,-3.357963763080888,0.0
hounding,pursue or chase relentlessly,3,-5.2459261438450495,-5.1087129386249135,0.0
overseer,a person who directs and manages an organization,4,-4.275739848113763,-4.504426805208998,0.25
treading,"put down or press the foot, place the foot",5,-3.584976096695356,-3.7285298848459627,0.0
rudely,in an impolite manner,2,-5.269950648609003,-5.269950648609003,0.0
chatted,talk socially without exchanging too much information,5,-4.056446148085699,-3.98394862688409,0.0
rotary,relating to or characterized by rotation,3,-5.733640332843621,-5.586522316613455,0.0
molesting,harass or assault sexually; make indecent advances to,6,-4.801357983766857,-4.9229427085910835,0.0
realty,property consisting of houses and land,4,-4.428264384022302,-4.14510897205481,0.0
aquatic,a plant that lives in or on water,3,-3.783412609272526,-3.5705614322952908,0.0
molest,harass or assault sexually; make indecent advances to,6,-4.801357983766857,-4.9229427085910835,0.0
dartmouth,a college in New Hampshire,3,-4.3229027296494325,-4.1422910496206455,0.0
ringside,first row of seating; has an unobstructed view of a boxing or wrestling ring,8,-4.179938788364397,-4.02642011405127,0.125
steamy,filled with steam or emitting moisture in the form of vapor or mist,7,-5.244926257824979,-5.367817249389898,0.0
adulthood,the period of time in your life after your physical growth has stopped and you are fully developed,8,-4.062081990201586,-4.536482701662706,0.0
unbecoming,not in keeping with accepted standards of what is right or proper in polite society,7,-4.100169453753877,-4.507093997653561,0.0
dugout,either of two low shelters on either side of a baseball diamond where the players and coaches sit during the game,9,-4.166255541330329,-4.325298249934539,0.0
piloting,the guidance of ships or airplanes from place to place,5,-4.045368894713637,-3.798903085557727,0.0
misuse,apply to a wrong thing or person; apply badly or incorrectly,7,-4.310267358778332,-4.5530596864070265,0.0
shadowy,filled with shade,2,-4.6714035574198975,-4.6714035574198975,0.0
promotional,of or relating to serving as publicity,3,-4.943189440777596,-5.125767127575767,0.0
jettison,"throw away, of something encumbering",4,-3.290474384140545,-3.1179477940303193,0.25
businesswoman,a female businessperson,2,-4.352042474182053,-4.352042474182053,0.5
registrar,a person employed to keep a record of the owners of stocks and bonds issued by the company,9,-4.161229066843297,-4.205385968102939,0.0
voltaire,French writer who was the embodiment of 18th century Enlightenment (1694-1778),5,-4.981096174802568,-4.549532289888843,0.0
hairpin,a double pronged pin used to hold women's hair in place,8,-3.7023494613534074,-3.4518834388451305,0.125
coachman,a man who drives a coach (or carriage),4,-3.97702124522797,-4.064248753149743,0.0
garnish,something (such as parsley) added to a dish for flavor or decoration,6,-4.735130927067044,-4.836435764366348,0.0
brainstorm,the clear (and often sudden) understanding of a complex situation,6,-4.074194800002541,-4.092094817163373,0.0
