lemma,definition,len_tokens,mean_log_freq,median_log_freq,miss_rate
demulcent,a medication (in the form of an oil or salve etc.) that soothes inflamed or injured skin,9,-4.830755661566314,-4.395468859744166,0.0
australopithecine,any of several extinct humanlike bipedal primates with relatively small brains of the genus Australopithecus; from 1 to 4 million years ago,11,-4.8195321064279275,-4.475137067160583,0.0
cocain,a narcotic (alkaloid) extracted from coca leaves; used as a surface anesthetic or taken for pleasure; can become powerfully addictive,13,-4.678849261923957,-4.597700748016041,0.0
barkes,speak in an unfriendly tone,3,-4.87904003243979,-4.281332405193682,0.0
complots,"engage in plotting or enter into a conspiracy, swear together",6,-4.475933085398154,-4.579755876034804,0.0
feminize,assume (more) feminine characteristics,3,-4.662652171822249,-4.413837706815144,0.0
counterattacked,make a counterattack,2,-4.7522015836149745,-4.7522015836149745,0.0
topknot,headdress consisting of a decorative ribbon or bow worn in the hair,7,-4.834752173694367,-4.73797408912973,0.0
paramountcy,the state of being paramount; the highest rank or authority,5,-3.860487314104134,-3.8628321594287374,0.0
containes,include or contain; have as a component,3,-3.86664445009553,-3.793040832424553,0.0
underselling,sell cheaper than one's competition,3,-3.8253634007991053,-3.782474704519174,0.0
saleroom,an area where merchandise (such as cars) can be displayed,4,-3.6290287615063863,-3.433153526566015,0.0
undiplomatic,not skilled in dealing with others,3,-4.0592617430653695,-3.7225929007480953,0.0
tackiest,(of a glutinous liquid such as paint) not completely dried and slightly sticky to the touch,8,-4.715395598535505,-4.327298164655988,0.0
jelled,become gelatinous,2,-5.246907843035837,-5.246907843035837,0.0
deutzia,any of various shrubs of the genus Deutzia having usually toothed opposite leaves and shredding bark and white or pink flowers in loose terminal clusters,16,-4.772854621113206,-4.563189521131413,0.0
lagune,a body of water cut off from a larger body by a reef of sand or coral,8,-3.9984713415105295,-3.737165745519001,0.0
topmast,the mast next above a lower mast and topmost in a fore-and-aft rig,7,-4.807545960060821,-5.259467057985619,0.1428571428571429
noncom,a military officer appointed from enlisted personnel,5,-4.634316205374878,-4.246486762899024,0.0
steradian,the unit of solid angle adopted under the Systeme International d'Unites,7,-4.406558700307547,-4.297996535117452,0.1428571428571429
flurried,move in an agitated or confused manner,4,-4.903508435537534,-4.558421698463133,0.0
noctua,type genus of the Noctuidae: moths whose larvae are cutworms,6,-5.494043762756191,-5.419452691095399,0.0
hunchbacked,"characteristic of or suffering from kyphosis, an abnormality of the vertebral column",6,-5.262541515438655,-5.092123287410079,0.0
clupeidae,herrings; shad; sardines; etc.,3,-5.84633473005182,-5.955064082608043,0.0
dekko,British slang for a look,3,-4.287272800119159,-3.9187463756808842,0.0
tameness,the quality of being vapid and unsophisticated,3,-5.597804253052163,-6.588590970833728,0.0
airburst,an explosion in the atmosphere,2,-4.738095872558009,-4.738095872558009,0.0
deferentially,in a servile manner,2,-5.453192886023639,-5.453192886023639,0.0
retreaded,use again in altered form,3,-3.7113586504901366,-3.3462941172064258,0.0
urmia,a shallow saline lake in northwestern Iran between Tabriz and the western border of Turkey,9,-4.738459042907082,-4.393926848574609,0.0
areolar,relating to or like or divided into areolae,3,-5.307849401304732,-4.8763081094542695,0.0
lobsterman,a person whose occupation is catching lobsters,4,-4.3938561338939515,-4.427994109735842,0.0
skiving,remove the surface of,2,-4.0191528678420205,-4.0191528678420205,0.0
accessorial,nonessential but helpful,2,-5.413702548347396,-5.413702548347396,0.0
catasetum,genus of tropical American orchids having showy male and female flowers usually on separate inflorescences,11,-4.5638027067892395,-4.186095233896359,0.0
combativeness,a militant aggressiveness,2,-5.811050095322274,-5.811050095322274,0.0
choreographs,"compose a sequence of dance steps, often to music",6,-4.028585745514053,-3.9182781644634446,0.0
rusticated,live in the country and lead a rustic life,5,-3.8510361532629984,-3.549347935261545,0.0
passiveness,submission to others or to outside influences,3,-4.0791008762822685,-4.2543787604093835,0.0
gloominess,an atmosphere of depression and melancholy,3,-4.963068170475256,-4.580095457910016,0.0
