lemma,definition,count
ola,leaf or strip from a leaf of the talipot palm used in India for writing paper,1402
psalm,one of the 150 lyrical poems and prayers that comprise the Book of Psalms in the Old Testament; said to have been written by David,1401
kike,(ethnic slur) offensive term for a Jew,1401
reptilian,"any cold-blooded vertebrate of the class Reptilia including tortoises, turtles, snakes, lizards, alligators, crocodiles, and extinct forms",1401
ruffian,a cruel and brutal fellow,1401
turtleneck,a sweater or jersey with a high close-fitting collar,1400
anaconda,large arboreal boa of tropical South America,1400
clocking,the time taken to traverse a measured course,1400
starkey,rock star and drummer for the Beatles (born in 1940),1400
glutton,a person who is devoted to eating and drinking to excess,1400
awkwardness,unskillfulness resulting from a lack of training,1399
looter,someone who takes spoils or plunder (as in war),1399
bloodstain,a discoloration caused by blood,1399
tenement,a run-down apartment house barely meeting minimal standards,1399
catholicism,the beliefs and practices of a Catholic Church,1399
crossover,the interchange of sections between pairing homologous chromosomes during the prophase of meiosis,1398
vocalist,a person who sings,1398
agha,title for a civil or military leader (especially in Turkey),1398
inducing,act of bringing about a desired result,1397
gd,a nerve agent easily absorbed into the body; a lethal cholinesterase inhibitor that is highly toxic when inhaled,1397
pseudonym,a fictitious name used when the person performs a particular social role,1397
frick,United States industrialist who amassed a fortune in the steel industry (1849-1919),1397
splint,a thin sliver of wood,1396
moll,the girlfriend of a gangster,1396
borscht,a Russian or Polish soup usually containing beet juice as a foundation,1396
speer,German Nazi architect who worked for Hitler (1905-1981),1396
importing,the commercial activity of buying and bringing in goods from a foreign country,1396
tho,a branch of the Tai languages,1395
sumerian,a member of a people who inhabited ancient Sumer,1394
lat,a broad flat muscle on either side of the back,1393
solvent,a liquid substance capable of dissolving other substances,1393
toner,a solution containing chemicals that can change the color of a photographic print,1393
pollack,United States filmmaker (born in 1934),1392
nome,a town in western Alaska on the southern coast of the Seward Peninsula; an important center of an Alaskan gold rush at the beginning of the 20th century,1392
yukon,a North American river that flows westward from the Yukon Territory through central Alaska to the Bering Sea,1392
annoyance,the psychological state of being irritated or annoyed,1392
vaseline,a trademarked brand of petroleum jelly,1391
argo,formerly a large constellation in the southern hemisphere between Canis Major and the Southern Cross; now divided into Carina and Pyxis and Puppis and Vela,1391
origami,"the Japanese art of folding paper into shapes representing objects (e.g., flowers or birds)",1391
ventricle,one of four connected cavities in the brain; is continuous with the central canal of the spinal cord and contains cerebrospinal fluid,1390
amazement,the feeling that accompanies something extremely surprising,1389
jumble,a confused multitude of things,1389
molding,the act of creating something by casting it in a mold,1389
nicker,the characteristic sounds made by a horse,1388
converging,the act of converging (coming closer),1388
guardianship,attention and management implying responsibility for safety,1388
v.p.,an executive officer ranking immediately below a president; may serve in the president's place under certain circumstances,1388
aiken,United States writer (1889-1973),1387
knapsack,a bag carried by a strap on your back or shoulder,1387
playhouse,plaything consisting of a small model of a house that children can play inside of,1387
southerner,an American who lives in the South,1387
vas,a tube in which a body fluid circulates,1386
steeple,a tall tower that forms the superstructure of a building (usually a church or temple) and that tapers to a point at the top,1386
rotor,the rotating armature of a motor or generator,1386
lind,Swedish soprano who toured the United States under the management of P. T. Barnum (1820-1887),1386
gulag,a Russian prison camp for political prisoners,1386
impunity,exemption from punishment or loss,1386
splutter,the noise of something spattering or sputtering explosively,1386
wylie,United States poet (1885-1928),1386
lansing,capital of the state of Michigan; located in southern Michigan on the Grand River,1385
bruges,a city in northwestern Belgium that is connected by canal to the North Sea; in the 13th century it was a leading member of the Hanseatic League; the old city (known as the City of Bridges) is a popular tourist attraction,1385
spatula,a turner with a narrow flexible blade,1385
laguna,a body of water cut off from a larger body by a reef of sand or coral,1385
memorandum,a written proposal or reminder,1384
alerting,a state of readiness to respond,1384
texan,a native or resident of Texas,1383
forsaking,the act of forsaking,1383
sifting,the act of separating grain from chaff,1383
synergy,the working together of two things (muscles or drugs for example) to produce an effect greater than the sum of their individual effects,1382
pomegranate,shrub or small tree native to southwestern Asia having large red many-seeded fruit,1382
wisp,a small tuft or lock,1382
applesauce,puree of stewed apples usually sweetened and spiced,1381
nativity,the event of being born,1381
miri,little known Kamarupan languages,1381
corsica,an island in the Mediterranean; with adjacent islets it constitutes a region of France,1381
locus,the scene of any event or action (especially the place of a meeting),1381
nunnery,the convent of a community of nuns,1380
adoration,a feeling of profound love and admiration,1380
wormwood,any of several low composite herbs of the genera Artemisia or Seriphidium,1380
printout,the output of a computer in printed form,1380
debit,an accounting entry acknowledging sums that are owing,1380
callback,a request by the manufacturer of a defective product to return the product (as for replacement or repair),1379
shebang,an entire system; used in the phrase `the whole shebang',1379
workhouse,a poorhouse where able-bodied poor are compelled to labor,1379
naga,Kamarupan languages spoken in northeastern India and western Burma,1379
nullah,a ravine or gully in southern Asia,1379
sussex,a county in southern England on the English Channel; formerly an Anglo-Saxon kingdom that was captured by Wessex in the 9th century,1379
brownstone,a reddish brown sandstone; used in buildings,1379
flintstone,pebbles of flint used in masonry construction,1378
pram,a small vehicle with four wheels in which a baby or child is pushed around,1378
oni,the military intelligence agency that provides for the intelligence and counterintelligence and investigative and security requirements of the United States Navy,1378
decryption,the activity of making clear or converting from code into plain text,1377
scrambler,a rapid mover; someone who scrambles,1377
lally,support column consisting of a steel cylinder filled with concrete,1376
labrador,the mainland part of the province of Newfoundland and Labrador in the eastern part of the large Labrador-Ungava Peninsula in northeastern Canada,1376
p.e.,the mechanical energy that a body has by virtue of its position; stored energy,1376
tricycle,a vehicle with three wheels that is moved by foot pedals,1376
carpentry,the craft of a carpenter: making things out of wood,1376
pituitary,the master gland of the endocrine system; located at the base of the brain,1376
winkle,small edible marine snail; steamed in wine or baked,1375
